COLLEGE BASKETBALL TRUE HOME COURT ADVANTAGE (since start of 2021-22 season),,,,,,,,,,,,,,
,,ALL GAMES,,,,,,,,,CONFERENCE GAMES,,,
,,SU,ATS,Avg,Avg,Exp,Avg,,Actual,True,SU,ATS,True,Conf
Team,Conference,W-L (%),W-L (%),TmPR,OppPR,PPG+/-,Line,PF-PA,PPG+/-,HFEdge,W-L (%),W-L (%),HFEdge,+/-
BRADLEY,Missouri Valley,32-5 (86%),27-8 (77%),75.1,69.3,5.8,-8.4,76.2-60.4,15.8,10,20-3 (87%),17-5 (77%),10.9,0.9
ALABAMA,SEC,36-4 (90%),21-19 (53%),87.4,77.4,10,-13,86.4-68.4,18,8,17-3 (85%),9-11 (45%),7.7,-0.3
TOWSON ST,Colonial Athletic,28-5 (85%),18-14 (56%),72.4,66.7,5.7,-8,75.1-61.8,13.3,7.6,18-3 (86%),12-8 (60%),10.1,2.5
HOUSTON,Big 12,43-3 (93%),28-17 (62%),90.1,71.7,18.4,-21.4,77.9-52,25.9,7.5,19-2 (90%),11-9 (55%),4.4,-3.1
NORFOLK ST,Mid-Eastern,16-2 (89%),11-6 (65%),68,60.8,7.2,-9.6,78.4-63.7,14.7,7.5,12-2 (86%),8-5 (62%),6,-1.5
TENNESSEE,SEC,40-2 (95%),26-15 (63%),88.8,74.9,13.9,-17.1,78.8-57.6,21.2,7.3,19-2 (90%),12-9 (57%),6.8,-0.5
ST MARYS-CA,West Coast,37-5 (88%),25-15 (63%),83.4,73.9,9.5,-11.8,74.6-57.8,16.8,7.3,16-0 (100%),10-5 (67%),8.7,1.4
WAKE FOREST,ACC,42-5 (89%),31-15 (67%),79.2,72.7,6.5,-9.8,82-68.3,13.7,7.2,19-5 (79%),15-8 (65%),7.9,0.7
FLA ATLANTIC,American Athletic,33-6 (85%),24-13 (65%),77.2,70.1,7.1,-9.3,80.4-66.2,14.2,7.1,20-2 (91%),11-9 (55%),6,-1.1
UTAH VALLEY ST,WAC,25-4 (86%),20-9 (69%),73.3,70.3,3,-5,75.7-65.6,10.1,7.1,19-3 (86%),16-6 (73%),7.5,0.4
ARIZONA,Pac 12,42-2 (95%),25-18 (58%),89.6,73.8,15.8,-19.1,87.9-65.2,22.7,6.9,22-2 (92%),10-14 (42%),2.1,-4.8
IOWA ST,Big 12,38-8 (83%),28-18 (61%),82.7,72.4,10.3,-13.2,73.7-56.5,17.2,6.9,12-8 (60%),10-10 (50%),4.4,-2.5
INDIANA ST,Missouri Valley,22-10 (69%),21-9 (70%),74.2,69.5,4.7,-7.5,77.6-66.3,11.3,6.6,14-9 (61%),13-8 (62%),5.6,-1
N FLORIDA,Atlantic Sun,19-10 (66%),18-10 (64%),64.2,65.6,-1.4,-0.9,76.3-71.2,5.1,6.5,13-8 (62%),14-6 (70%),6.5,0
SOUTHERN U,SWAC,17-4 (81%),16-5 (76%),66.8,60.4,6.4,-8.1,75.3-62.8,12.5,6.1,15-4 (79%),14-5 (74%),5.3,-0.8
